contig_id,class,family
Sulfolobales~Beppu~filamentous~virus~2~clone~B,0,0
Sulfolobus~filamentous~virus~1~isolate~S48,0,0
Acidianus~filamentous~virus~3,0,0
Acidianus~filamentous~virus~6,0,0
Acidianus~filamentous~virus~8,0,0
Acidianus~filamentous~virus~9,0,0
Sulfolobus~islandicus~filamentous~virus,0,0
Acidianus~filamentous~virus~2,0,0
Sulfolobales~Beppu~filamentous~virus~3~clone~C,0,0
Acidianus~filamentous~virus~1,0,0
Stygiolobus~rod~shaped~virus,1,1
Acidianus~rod~shaped~virus~2~strain~ARV2,1,1
Acidianus~rod~shaped~virus~3~isolate~9,1,1
Metallosphaera~rod~shaped~virus~1~isolate~201,1,1
Saccharolobus~solfataricus~rod~shaped~virus~1~isolate~149,1,1
Sulfolobus~islandicus~rod~shaped~virus~1,1,1
Sulfolobus~islandicus~rod~shaped~virus~2,1,1
Sulfolobus~islandicus~rudivirus~3~isolate~SIRV3,1,1
Acidianus~rod~shaped~virus~1,1,1
Sulfolobales~Beppu~rod~shaped~virus~1~clone~D,1,1
Sulfolobales~Mexican~rudivirus~1,1,1
Sulfolobus~islandicus~rod~shaped~virus~4,1,1
Sulfolobus~islandicus~rod~shaped~virus~5,1,1
Sulfolobus~islandicus~rod~shaped~virus~8,1,1
Sulfolobus~islandicus~rod~shaped~virus~9,1,1
Sulfolobus~islandicus~rod~shaped~virus~10,1,1
Sulfolobus~islandicus~rod~shaped~virus~11,1,1
Ranid~herpesvirus~1~strain~McKinnell,2,2
Ranid~herpesvirus~2~strain~ATCC~VR~568,2,2
Ranid~herpesvirus~3~isolate~FO1_2015,2,2
Anguillid~herpesvirus~1,2,2
Cyprinid~herpesvirus~1~strain~NG~J1,2,2
Cyprinid~herpesvirus~2~strain~ST~J1,2,2
Cyprinid~herpesvirus~3,2,2
Acipenserid~herpesvirus~2~strain~SRWSHV,2,2
Ictalurid~herpesvirus~1~strain~Auburn~1,2,2
Ictalurid~herpesvirus~2~strain~760~94,2,2
Salmonid~herpesvirus~1~DNA~polymerase~(ORF~57~58)~gene,2,2
Gallid~herpesvirus~1~strain~SA2,3,3
