contig_id,proteins
Fig~mosaic~virus~mRNA~for~putative~glycoprotein~precursor~(RNA~2~gene),2
Citrobacter~phage~Mordin,141
Ashy~storm~petrel~gyrovirus~isolate~a12a1_528,2
Pseudomonas~phage~17A~chromosome~1,49
Erwinia~phage~vB_EamM~Y2,80
Cladosporium~cladosporioides~virus~1~putative~RNA~dependent~RNA~polymerase~gene,5
Prunus~virus~I~isolate~c18~segment~RNA1,6
Oliviers~shrew~virus~1~isolate~Gkd~1,10
Fig~badnavirus~1,3
TPA_asm:~SsRNA~phage~SRR7976357_8~genomic~sequence,3
Grapevine~virus~B,5
Blackberry~virus~E,5
Bat~alphacoronavirus~isolate~AMA_L_F,8
Hepatitis~B~virus~genotype~J~DNA,4
Tembusu~virus~flavivirus~polyprotein~(flavivirus~polyprotein~gene)~gene,1
Vibrio~phage~CTXphi,15
Antarctic~virus~COCH21_47,3
Escherichia~virus~P88_4B11~genome~assembly,50
Halorubrum~pleomorphic~virus~11,15
TPA_asm:~SsRNA~phage~SRR6960803_4~genomic~sequence,3
Sudan~watermelon~mosaic~virus~isolate~Su94~54,2
Vibrio~phage~V5,11
Gammarus~sp.~amphipod~associated~circular~virus~isolate~I0153,2
Citrobacter~phage~Margaery,275
Human~enterovirus~C117~strain~LIT22,1
Baboon~adenovirus~3~isolate~BaAdV~2,34
Lactococcus~phage~50102,37
Mycobacterium~phage~Philonius,70
Bat~hepatovirus~BUO2BF86Colafr2010~polyprotein~gene,1
Ralstonia~phage~RS~PII~1,46
Streptococcus~phage~TP~778L~complete~genome,52
Tomato~leaf~curl~New~Delhi~virus~4~isolate~TC306~segment~DNA~A,3
Torque~teno~midi~virus~3~isolate~2PoSMA~ORF2~and~ORF1~genes,2
Ovine~papillomavirus~type~3~isolate~Sar1,5
Enterococcus~phage~PBEF129,201
Hepacivirus~I,1
Drosophila~melanogaster~transposon~Max~gene~for~gag~pol~polyprotein~precursor,5
TPA_asm:~SsRNA~phage~Zoerhiza.2_21~genomic~sequence,3
Lakamha~virus~strain~Palenque~C559~MX~2008~segment~large,3
Pterostylis~polerovirus~strain~13365,5
Jatropha~curcas~mosaic~virus~Jalgaon~segment~DNA~A,6
Streptococcus~phage~P3684,41
Lactococcus~phage~LP9609,53
MAG:~Cressdnaviricota~sp.~isolate~ctba54,2
Yunnan~Paris~negative~stranded~virus~isolate~WS~segment~RNA1,3
Azobacteroides~phage~ProJPt~Bp1~DNA,67
Yam~mild~mosaic~virus~from~Brazil,1
Klebsiella~phage~vB_KpnS_Call,78
Staphylococcus~phage~P108,230
Mirabilis~crinkle~mosaic~virus~isolate~MJ,2
TPA_asm:~SsRNA~phage~SRR6960507_5~genomic~sequence,3
Potato~leaf~roll~virus~(Canadian~isolate)~genomic~RNA,4
Panicum~streak~virus~isolate~H_CF_Bai2_Car11,4
Human~papillomavirus~type~115~isolate~GC02,8
Rodent~stool~associated~circular~genome~virus~strain~RodSCV_V~84,2
Escherichia~phage~JL1,58
TPA_asm:~SsRNA~phage~Esthiorhiza.2_28~genomic~sequence,4
MW~polyomavirus,5
Wenzhou~Myotis~davidii~paramyxovirus~1~isolate~YJB_DaWei,7
Sida~golden~mottle~virus~DNA~A,5
Synechococcus~phage~S~H9~1,230
MAG:~Cressdnaviricota~sp.~isolate~hftoti49cir1,4
Human~papillomavirus~type~130,6
Insect~mesonivirus~1~isolate~Ttameso1~hypothetical~protein,4
Choristoneura~rosaceana~entomopoxvirus~L,301
Ovine~enterovirus~strain~ovine~TB4~OEV~2009~HUN,1
Gordonia~phage~Commandaria,92
MAG:~Leviviridae~sp.~isolate~35~k141_177256~genomic~sequence,3
Chicken~genomovirus~mg7_73,3
MAG:~Wuhan~Mosquito~Virus~9~isolate~XY91455~ORF1,6
Staphylococcus~phage~phinm4,68
Rhizobium~phage~RHEph08,53
Velvet~bean~severe~mosaic~virus~DNA~A,5
MAG:~Phaeoacremonium~minimum~ourmia~like~virus~1~isolate~CREA~VE~28SY2,2
Bovine~papillomavirus~type~12~isolate~PR000001,5
Sodalis~phage~SO~1,57
MAG:~Bacteriophage~sp.~isolate~3451_82951,44
Human~cosavirus~A19~strain~PK6187~polyprotein~gene,1
Gayfeather~mild~mottle~virus~RNA~1,5
Pectobacterium~phage~DU_PP_V,143
Gordonia~phage~Patio,88
Arthrobacter~phage~Nubia,61
Cassava~mosaic~Madagascar~virus~DNA~A,9
Escherichia~phage~4MG,255
Wufeng~Myotis~altarium~paramyxovirus~1~isolate~WFB_YunShu,8
Plant~associated~genomovirus~19~isolate~QS58_F27,3
Kummerowia~striata~CRESS~virus~strain~pt119~nep~9,2
Songling~virus~strain~HLJ1202~segment~M~glycoprotein~precursor~(QK839_sMgp1)~gene,3
