name,idx
Shigella phage phiSboM AG3,0
Enterobacter phage EspM4VN DNA,1
Shigella phage MK 13,2
Salmonella phage P46FS4,3
Salmonella phage SKML 39,4
Dickeya phage vB_DsoM_LIMEstone1 complete genome,5
Dickeya phage RC 2014,6
Salmonella phage allotria,7
Salmonella phage barely,8
Salmonella phage bering,9
Salmonella phage BSP101,10
Escherichia phage Cba120,11
Salmonella phage Det7,12
Salmonella phage dinky,13
Escherichia phage EP75,14
Escherichia phage FEC14,15
Salmonella phage GG32,16
Salmonella phage heyday,17
Salmonella phage 38,18
Salmonella phage maane,19
Salmonella phage Marshall,20
Salmonella phage moki,21
Salmonella phage Mutine,22
Salmonella phage pertopsoe,23
Escherichia phage PhaxI,24
Salmonella phage vB_SalM_PM10,25
Salmonella phage rabagast,26
Salmonella phage S118,27
Salmonella phage Se B,28
Salmonella phage Se G,29
Salmonella phage Se J,30
Salmonella phage SenALZ1,31
Salmonella phage SenASZ3,32
Salmonella phage SeSz 1,33
Salmonella phage SFP10,34
Salmonella phage SP1,35
Salmonella phage SS9,36
Salmonella phage STML 13 1,37
Salmonella phage ST W77,38
Salmonella phage Vi01,39
Vibrio phage vB_VchM_Kuja,40
Serratia phage vB_SmaA_3M,41
Serratia phage phiMAM1,42
Erwinia phage vB_EamM Bue1,43
Erwinia phage phiEa2809,44
Klebsiella phage 0507 KN2 1 DNA,45
Serratia phage vB_Sru_IME250,46
Escherichia phage vB_EcoM_KWBSE43 6,47
Klebsiella phage Magnus,48
Klebsiella phage May,49
Klebsiella phage Menlow,50
Klebsiella phage UPM 2146,51
Aeromonas phage phiA8 29,52
Vibrio phage VAP7,53
McMurdo Ice Shelf pond associated circular DNA virus 3 isolate alg49 39,54
Lake Sarah associated circular virus 39 isolate LSaCV 39 LSGA 2013,55
Sewage associated circular DNA virus 29 isolate SaCV 29_NZ BS4325 2012,56
Dragonfly larvae associated circular virus 3 isolate DflaCV 3 LSLA 2013,57
Circular ssDNA virus sp. isolate 2035,58
Sewage associated circular DNA virus 20 isolate SaCV 20_NZ BS3900 2012,59
Circovirus like genome CB A,60
Dromedary stool associated circular ssDNA virus isolate DcSCV_c1422,61
Pacific flying fox faeces associated circular DNA virus 6 isolate Tbat_H_77994,62
Pacific flying fox faeces associated circular DNA virus 4 isolate Tbat_29894,63
Circular ssDNA virus sp. isolate cg_1467 Cap and Rep genes,64
Dragonfly larvae associated circular virus 4 isolate DflaCV 4_NZ PG3 LG,65
Circovirus like genome DCCV 5,66
Odonata associated circular virus 13 isolate OdasCV 13 US 1591LM1 12,67
Lake Sarah associated circular virus 32 isolate LSaCV 32 LSWO 2013,68
Dragonfly circularisvirus isolate TO DF3E 2010,69
Lake Sarah associated circular virus 7 isolate LSaCV 7 LSSO 2013,70
Diporeia sp. associated circular virus isolate LM3487 replication associated protein and hypothetical protein genes,71
Pacific flying fox associated multicomponent virus isolate Tbat_K_12099 segment DNA R,72
Duck aviadenovirus strain DAV G018 19 Australia 2019,73
Duck adenovirus 2 strain GR,74
Goose adenovirus 4,75
Owl adenovirus DNA,76
Duck adenovirus 4 ORF12,77
Pigeon adenovirus 1 complete genome,78
Pigeon adenovirus 2 isolate YPDS Y V1.A19.11 2013,79
Fowl adenovirus D,80
Fowl aviadenovirus 2 strain SR48,81
Turkey adenovirus 1,82
Turkey adenovirus 4 isolate TNI1,83
Turkey adenovirus 5 isolate 1277BT,84
Crane associated adenovirus 1 DNA,85
Fowl adenovirus 6 strain CR119,86
Fowl aviadenovirus 7 strain YR36,87
Fowl adenovirus 8b strain 764,88
